index,label,prediction,result,filename
0,7,7,correct,correct/mnist_0000_label7_pred7.hex
1,2,2,correct,correct/mnist_0001_label2_pred2.hex
2,1,1,correct,correct/mnist_0002_label1_pred1.hex
3,0,0,correct,correct/mnist_0003_label0_pred0.hex
4,4,4,correct,correct/mnist_0004_label4_pred4.hex
5,1,1,correct,correct/mnist_0005_label1_pred1.hex
6,4,4,correct,correct/mnist_0006_label4_pred4.hex
7,9,9,correct,correct/mnist_0007_label9_pred9.hex
8,5,4,incorrect,incorrect/mnist_0008_label5_pred4.hex
9,9,9,correct,correct/mnist_0009_label9_pred9.hex
10,0,0,correct,correct/mnist_0010_label0_pred0.hex
11,6,6,correct,correct/mnist_0011_label6_pred6.hex
12,9,9,correct,correct/mnist_0012_label9_pred9.hex
13,0,0,correct,correct/mnist_0013_label0_pred0.hex
14,1,1,correct,correct/mnist_0014_label1_pred1.hex
15,5,5,correct,correct/mnist_0015_label5_pred5.hex
16,9,9,correct,correct/mnist_0016_label9_pred9.hex
17,7,7,correct,correct/mnist_0017_label7_pred7.hex
18,3,3,correct,correct/mnist_0018_label3_pred3.hex
19,4,4,correct,correct/mnist_0019_label4_pred4.hex
20,9,9,correct,correct/mnist_0020_label9_pred9.hex
21,6,6,correct,correct/mnist_0021_label6_pred6.hex
22,6,6,correct,correct/mnist_0022_label6_pred6.hex
23,5,5,correct,correct/mnist_0023_label5_pred5.hex
24,4,4,correct,correct/mnist_0024_label4_pred4.hex
25,0,0,correct,correct/mnist_0025_label0_pred0.hex
26,7,7,correct,correct/mnist_0026_label7_pred7.hex
27,4,4,correct,correct/mnist_0027_label4_pred4.hex
28,0,0,correct,correct/mnist_0028_label0_pred0.hex
29,1,1,correct,correct/mnist_0029_label1_pred1.hex
30,3,3,correct,correct/mnist_0030_label3_pred3.hex
31,1,1,correct,correct/mnist_0031_label1_pred1.hex
32,3,3,correct,correct/mnist_0032_label3_pred3.hex
33,4,0,incorrect,incorrect/mnist_0033_label4_pred0.hex
34,7,7,correct,correct/mnist_0034_label7_pred7.hex
35,2,2,correct,correct/mnist_0035_label2_pred2.hex
36,7,7,correct,correct/mnist_0036_label7_pred7.hex
37,1,1,correct,correct/mnist_0037_label1_pred1.hex
38,2,2,correct,correct/mnist_0038_label2_pred2.hex
39,1,1,correct,correct/mnist_0039_label1_pred1.hex
40,1,1,correct,correct/mnist_0040_label1_pred1.hex
41,7,7,correct,correct/mnist_0041_label7_pred7.hex
42,4,4,correct,correct/mnist_0042_label4_pred4.hex
43,2,2,correct,correct/mnist_0043_label2_pred2.hex
44,3,3,correct,correct/mnist_0044_label3_pred3.hex
45,5,5,correct,correct/mnist_0045_label5_pred5.hex
46,1,1,correct,correct/mnist_0046_label1_pred1.hex
47,2,2,correct,correct/mnist_0047_label2_pred2.hex
48,4,4,correct,correct/mnist_0048_label4_pred4.hex
49,4,4,correct,correct/mnist_0049_label4_pred4.hex
50,6,6,correct,correct/mnist_0050_label6_pred6.hex
51,3,3,correct,correct/mnist_0051_label3_pred3.hex
52,5,5,correct,correct/mnist_0052_label5_pred5.hex
53,5,5,correct,correct/mnist_0053_label5_pred5.hex
54,6,2,incorrect,incorrect/mnist_0054_label6_pred2.hex
55,0,0,correct,correct/mnist_0055_label0_pred0.hex
56,4,4,correct,correct/mnist_0056_label4_pred4.hex
57,1,1,correct,correct/mnist_0057_label1_pred1.hex
58,9,9,correct,correct/mnist_0058_label9_pred9.hex
59,5,5,correct,correct/mnist_0059_label5_pred5.hex
60,7,7,correct,correct/mnist_0060_label7_pred7.hex
61,8,8,correct,correct/mnist_0061_label8_pred8.hex
62,9,9,correct,correct/mnist_0062_label9_pred9.hex
63,3,3,correct,correct/mnist_0063_label3_pred3.hex
64,7,7,correct,correct/mnist_0064_label7_pred7.hex
65,4,4,correct,correct/mnist_0065_label4_pred4.hex
66,6,2,incorrect,incorrect/mnist_0066_label6_pred2.hex
67,4,4,correct,correct/mnist_0067_label4_pred4.hex
68,3,3,correct,correct/mnist_0068_label3_pred3.hex
69,0,0,correct,correct/mnist_0069_label0_pred0.hex
70,7,7,correct,correct/mnist_0070_label7_pred7.hex
71,0,0,correct,correct/mnist_0071_label0_pred0.hex
72,2,2,correct,correct/mnist_0072_label2_pred2.hex
73,9,9,correct,correct/mnist_0073_label9_pred9.hex
74,1,1,correct,correct/mnist_0074_label1_pred1.hex
75,7,7,correct,correct/mnist_0075_label7_pred7.hex
76,3,3,correct,correct/mnist_0076_label3_pred3.hex
77,2,2,correct,correct/mnist_0077_label2_pred2.hex
78,9,9,correct,correct/mnist_0078_label9_pred9.hex
79,7,7,correct,correct/mnist_0079_label7_pred7.hex
80,7,7,correct,correct/mnist_0080_label7_pred7.hex
81,6,6,correct,correct/mnist_0081_label6_pred6.hex
82,2,2,correct,correct/mnist_0082_label2_pred2.hex
83,7,7,correct,correct/mnist_0083_label7_pred7.hex
84,8,8,correct,correct/mnist_0084_label8_pred8.hex
85,4,4,correct,correct/mnist_0085_label4_pred4.hex
86,7,7,correct,correct/mnist_0086_label7_pred7.hex
87,3,3,correct,correct/mnist_0087_label3_pred3.hex
88,6,6,correct,correct/mnist_0088_label6_pred6.hex
89,1,1,correct,correct/mnist_0089_label1_pred1.hex
90,3,3,correct,correct/mnist_0090_label3_pred3.hex
91,6,6,correct,correct/mnist_0091_label6_pred6.hex
92,9,8,incorrect,incorrect/mnist_0092_label9_pred8.hex
93,3,3,correct,correct/mnist_0093_label3_pred3.hex
94,1,1,correct,correct/mnist_0094_label1_pred1.hex
95,4,4,correct,correct/mnist_0095_label4_pred4.hex
96,1,1,correct,correct/mnist_0096_label1_pred1.hex
97,7,7,correct,correct/mnist_0097_label7_pred7.hex
98,6,6,correct,correct/mnist_0098_label6_pred6.hex
99,9,9,correct,correct/mnist_0099_label9_pred9.hex
100,6,6,correct,correct/mnist_0100_label6_pred6.hex
101,0,0,correct,correct/mnist_0101_label0_pred0.hex
102,5,5,correct,correct/mnist_0102_label5_pred5.hex
103,4,4,correct,correct/mnist_0103_label4_pred4.hex
104,9,9,correct,correct/mnist_0104_label9_pred9.hex
105,9,9,correct,correct/mnist_0105_label9_pred9.hex
106,2,2,correct,correct/mnist_0106_label2_pred2.hex
107,1,1,correct,correct/mnist_0107_label1_pred1.hex
